State,Fund,Company Name,Deployment Year,Locations Obligation through Deployment Year,Locations Deployed through Deployment Year,Total Support Disbursed through Deployment Year
AL,CAF-BLS,NEW HOPE TEL COOP,2016,,1016,0
AL,CAF-BLS,NEW HOPE TEL COOP,2017,,2205,1656567
AL,CAF-BLS,NEW HOPE TEL COOP,2018,,2397,3411108
AL,CAF-BLS,NEW HOPE TEL COOP,2019,,2426,5456562
AL,CAF-BLS,PINE BELT COMMUNICATIONS CO. INC.,2019,,930,791310
AL,CAF-BLS,NEW HOPE TEL COOP,2020,,2426,7668786
AL,CAF-BLS,WIDEOPENWEST,2020,,657,870972
AL,CAF-BLS,"RAGLAND TELEPHONE COMPANY, INC.",2020,,492,1639908
AL,CAF-BLS,"RAGLAND TELEPHONE COMPANY, INC.",2019,,492,1201962
AL,CAF-BLS,"RAGLAND TELEPHONE COMPANY, INC.",2018,,492,707094
AL,CAF-BLS,"RAGLAND TELEPHONE COMPANY, INC.",2017,,492,331386
AL,CAF-BLS,PINE BELT COMMUNICATIONS CO. INC.,2020,,1891,1825332
AL,ACAM,BB HOLDING CORPORATION,2017,,222,2915364.84
AL,ACAM,BB HOLDING CORPORATION,2018,,222,6076133.76
AL,ACAM,BB HOLDING CORPORATION,2019,,222,9256663.68
AL,ACAM,BB HOLDING CORPORATION,2020,1997,2529,12437193.6
AL,ACAM,OTELCO INC.,2010,,89,0
AL,ACAM,OTELCO INC.,2011,,89,0
AL,ACAM,OTELCO INC.,2012,,89,0
AL,ACAM,OTELCO INC.,2013,,89,0
AL,ACAM,OTELCO INC.,2014,,207,0
AL,ACAM,OTELCO INC.,2015,,2221,0
AL,ACAM,OTELCO INC.,2016,,2825,0
AL,ACAM,OTELCO INC.,2017,,2941,2977657.2
AL,ACAM,OTELCO INC.,2018,,3691,5798595.6
AL,ACAM,OTELCO INC.,2019,,4185,8462815.2
AL,ACAM,OTELCO INC.,2020,3104,7272,10970316
AL,ACAM,"TELEPHONE AND DATA SYSTEMS, INC.",2015,,236,0
AL,ACAM,"TELEPHONE AND DATA SYSTEMS, INC.",2016,,341,0
AL,ACAM,"TELEPHONE AND DATA SYSTEMS, INC.",2017,,428,3840606.12
AL,ACAM,"TELEPHONE AND DATA SYSTEMS, INC.",2018,,445,8004499.44
AL,ACAM,"TELEPHONE AND DATA SYSTEMS, INC.",2019,,1220,12136759.2
AL,ACAM,"TELEPHONE AND DATA SYSTEMS, INC.",2020,4578,5350,16269018.96
AL,ACAM,TELEPHONE ELECTRONICS CORPORATION,2016,,2417,0
